v0,k,theta,rho,eta
0.004282674,0.800000018,0.004329294,-0.192357075,0.350051758
0.00438227,0.800960839,0.004353821,-0.129010126,0.350684569
0.004939312,0.799996433,0.003939991,-0.165663176,0.350712139
0.005307574,0.799994453,0.004309061,-0.252316227,0.35073971
0.005695663,0.799992998,0.004703024,-0.338969278,0.350670125
0.004737201,0.800380289,0.004080391,-0.325622329,0.336779284
0.004615376,0.800421736,0.004461908,-0.312275379,0.340131951
0.005493551,0.800490378,0.004843424,-0.29892843,0.342997981
0.004371727,0.93627288,0.00522494,-0.268808619,0.126288408
0.006249902,0.814222078,0.006606457,-0.305780255,0.085511485
0.005128078,0.812116406,0.005987973,-0.242114721,0.189812255
0.006006253,0.77104696,0.00736949,-0.273482868,0.176617484
0.007685416,0.838785688,0.007632814,-0.222981775,0.200171215
0.007744582,0.800190032,0.008118157,-0.247853337,0.350127197
0.008003748,0.799999497,0.007514039,-0.279273798,0.310083178
0.008162913,0.800000744,0.008267768,-0.210694259,0.350039159
0.008212319,0.800001668,0.008484726,-0.142114721,0.399995141
0.008336985,0.800019006,0.011087884,-0.173535182,0.449951122